No,food_name,amount
317,メディファス　室内猫　毛玉ケアプラス　11歳から　チキン＆フィッシュ味,5.4
318,メディファス　満腹感ダイエット　1歳から　チキン＆フィッシュ味,1.41
319,メディファス　満腹感ダイエット　1歳から　チキン＆フィッシュ味,2.7
320,メディファス　満腹感ダイエット　1歳から　チキン＆フィッシュ味,5.4
321,メディファス　避妊・去勢後のケア　子ねこから10歳まで　チキン＆フィッシュ味,0.705
322,メディファス　避妊・去勢後のケア　子ねこから10歳まで　チキン＆フィッシュ味,1.41
323,メディファス　避妊・去勢後のケア　子ねこから10歳まで　チキン＆フィッシュ味,2.7
324,メディファス　避妊・去勢後のケア　子ねこから10歳まで　チキン＆フィッシュ味,5.4
325,ＪＰスタイル　和の究み　セレクトヘルスケア　下部尿路低カルシウム,1.4
326,ＪＰスタイル　和の究み　セレクトヘルスケア　腎臓ガード　かつお味,0.2
327,ＪＰスタイル　和の究み　セレクトヘルスケア　腎臓ガード　かつお味,0.7
328,ＪＰスタイル　和の究み　セレクトヘルスケア　腎臓ガード　かつお味,1.4
329,ＪＰスタイル　和の究み　セレクトヘルスケア　腎臓ガード　チキン味,0.2
330,ＪＰスタイル　和の究み　セレクトヘルスケア　腎臓ガード　チキン味,0.7
331,ＪＰスタイル　和の究み　セレクトヘルスケア　腎臓ガード　チキン味,1.4
