No(idではない),food_name,nutrient_name,content
346,コンボ　キャット　腎臓の健康維持,タンパク質,26.5
347,コンボ　キャット　腎臓の健康維持,脂質,9.5
348,コンボ　キャット　腎臓の健康維持,粗繊維,4.5
349,コンボ　キャット　腎臓の健康維持,灰分,9
350,コンボ　キャット　腎臓の健康維持,水分,10
351,コンボ　キャット　毛玉対応　まぐろ味・ささみチップ・かつお節添え,タンパク質,28.5
352,コンボ　キャット　毛玉対応　まぐろ味・ささみチップ・かつお節添え,脂質,9
353,コンボ　キャット　毛玉対応　まぐろ味・ささみチップ・かつお節添え,粗繊維,4.5
354,コンボ　キャット　毛玉対応　まぐろ味・ささみチップ・かつお節添え,灰分,9
355,コンボ　キャット　毛玉対応　まぐろ味・ささみチップ・かつお節添え,水分,10
356,コンボ　キャット　毛玉対応　かつお味・かつおチップ・小魚添え,タンパク質,28.5
357,コンボ　キャット　毛玉対応　かつお味・かつおチップ・小魚添え,脂質,9
358,コンボ　キャット　毛玉対応　かつお味・かつおチップ・小魚添え,粗繊維,4.5
359,コンボ　キャット　毛玉対応　かつお味・かつおチップ・小魚添え,灰分,9
360,コンボ　キャット　毛玉対応　かつお味・かつおチップ・小魚添え,水分,10
361,コンボ　キャット　毛玉対応１１歳以上　かつお味・かつおチップ・かつお節添え,タンパク質,27.5
362,コンボ　キャット　毛玉対応１１歳以上　かつお味・かつおチップ・かつお節添え,脂質,8.5
363,コンボ　キャット　毛玉対応１１歳以上　かつお味・かつおチップ・かつお節添え,粗繊維,4.5
364,コンボ　キャット　毛玉対応１１歳以上　かつお味・かつおチップ・かつお節添え,灰分,9
365,コンボ　キャット　毛玉対応１１歳以上　かつお味・かつおチップ・かつお節添え,水分,10
366,コンボ　キャット　毛玉対応１５歳以上　かつお味・焼きタラチップ・ちりめん添え,タンパク質,27.5
367,コンボ　キャット　毛玉対応１５歳以上　かつお味・焼きタラチップ・ちりめん添え,脂質,8.5
368,コンボ　キャット　毛玉対応１５歳以上　かつお味・焼きタラチップ・ちりめん添え,粗繊維,4.5
369,コンボ　キャット　毛玉対応１５歳以上　かつお味・焼きタラチップ・ちりめん添え,灰分,9
370,コンボ　キャット　毛玉対応１５歳以上　かつお味・焼きタラチップ・ちりめん添え,水分,10
371,コンボ　ピュア　キャット　まぐろ味・鶏肉・かつお節添え,タンパク質,27
372,コンボ　ピュア　キャット　まぐろ味・鶏肉・かつお節添え,脂質,9
373,コンボ　ピュア　キャット　まぐろ味・鶏肉・かつお節添え,粗繊維,4.5
374,コンボ　ピュア　キャット　まぐろ味・鶏肉・かつお節添え,灰分,9
375,コンボ　ピュア　キャット　まぐろ味・鶏肉・かつお節添え,水分,10
376,コンボ　ピュア　キャット　まぐろ味・鶏肉・小魚添え,タンパク質,27
377,コンボ　ピュア　キャット　まぐろ味・鶏肉・小魚添え,脂質,9
378,コンボ　ピュア　キャット　まぐろ味・鶏肉・小魚添え,粗繊維,4.5
379,コンボ　ピュア　キャット　まぐろ味・鶏肉・小魚添え,灰分,9
380,コンボ　ピュア　キャット　まぐろ味・鶏肉・小魚添え,水分,10
381,コンボ　ピュア　キャット　まぐろ味・角切りまぐろ・かつお節添え,タンパク質,27
382,コンボ　ピュア　キャット　まぐろ味・角切りまぐろ・かつお節添え,脂質,9
383,コンボ　ピュア　キャット　まぐろ味・角切りまぐろ・かつお節添え,粗繊維,4.5
384,コンボ　ピュア　キャット　まぐろ味・角切りまぐろ・かつお節添え,灰分,9
385,コンボ　ピュア　キャット　まぐろ味・角切りまぐろ・かつお節添え,水分,10
386,コンボ　ピュア　キャット　避妊・去勢後用　まぐろ味・鶏肉・かつお節添え,タンパク質,27
387,コンボ　ピュア　キャット　避妊・去勢後用　まぐろ味・鶏肉・かつお節添え,脂質,8.1
388,コンボ　ピュア　キャット　避妊・去勢後用　まぐろ味・鶏肉・かつお節添え,粗繊維,4.5
389,コンボ　ピュア　キャット　避妊・去勢後用　まぐろ味・鶏肉・かつお節添え,灰分,9
390,コンボ　ピュア　キャット　避妊・去勢後用　まぐろ味・鶏肉・かつお節添え,水分,10
391,コンボ　ピュア　キャット　毛玉排出サポート　まぐろ味・鶏肉・かつお節添え,タンパク質,27
392,コンボ　ピュア　キャット　毛玉排出サポート　まぐろ味・鶏肉・かつお節添え,脂質,9
393,コンボ　ピュア　キャット　毛玉排出サポート　まぐろ味・鶏肉・かつお節添え,粗繊維,5.5
394,コンボ　ピュア　キャット　毛玉排出サポート　まぐろ味・鶏肉・かつお節添え,灰分,9
395,コンボ　ピュア　キャット　毛玉排出サポート　まぐろ味・鶏肉・かつお節添え,水分,10
396,コンボ　ピュア　キャット　１５歳以上用　まぐろ味・鶏肉・かつお節添え,タンパク質,26
397,コンボ　ピュア　キャット　１５歳以上用　まぐろ味・鶏肉・かつお節添え,脂質,9
398,コンボ　ピュア　キャット　１５歳以上用　まぐろ味・鶏肉・かつお節添え,粗繊維,3
399,コンボ　ピュア　キャット　１５歳以上用　まぐろ味・鶏肉・かつお節添え,灰分,9
400,コンボ　ピュア　キャット　１５歳以上用　まぐろ味・鶏肉・かつお節添え,水分,10
401,ラシーネ　日本猫,タンパク質,27
402,ラシーネ　日本猫,脂質,10.5
403,ラシーネ　日本猫,粗繊維,3
404,ラシーネ　日本猫,灰分,9
405,ラシーネ　日本猫,水分,10
406,ラシーネ　肥満が気になる日本猫,タンパク質,27
407,ラシーネ　肥満が気になる日本猫,脂質,9
408,ラシーネ　肥満が気になる日本猫,粗繊維,3
409,ラシーネ　肥満が気になる日本猫,灰分,9
410,ラシーネ　肥満が気になる日本猫,水分,10
411,ラシーネ　アメリカン・ショートヘア,タンパク質,32
412,ラシーネ　アメリカン・ショートヘア,脂質,8.5
413,ラシーネ　アメリカン・ショートヘア,粗繊維,3
414,ラシーネ　アメリカン・ショートヘア,灰分,9
415,ラシーネ　アメリカン・ショートヘア,水分,10
416,ラシーネ　スコティッシュ・フォールド,タンパク質,27
417,ラシーネ　スコティッシュ・フォールド,脂質,8.5
418,ラシーネ　スコティッシュ・フォールド,粗繊維,3
419,ラシーネ　スコティッシュ・フォールド,灰分,9
420,ラシーネ　スコティッシュ・フォールド,水分,10
421,ラシーネ　マンチカン,タンパク質,32
422,ラシーネ　マンチカン,脂質,8.5
423,ラシーネ　マンチカン,粗繊維,3
424,ラシーネ　マンチカン,灰分,9
425,ラシーネ　マンチカン,水分,10
426,ラシーネ　シャム,タンパク質,32
427,ラシーネ　シャム,脂質,8.5
428,ラシーネ　シャム,粗繊維,3
429,ラシーネ　シャム,灰分,9
430,ラシーネ　シャム,水分,10
431,ラシーネ　ロシアン・ブルー,タンパク質,32
432,ラシーネ　ロシアン・ブルー,脂質,8.5
433,ラシーネ　ロシアン・ブルー,粗繊維,4
434,ラシーネ　ロシアン・ブルー,灰分,9
435,ラシーネ　ロシアン・ブルー,水分,10
436,ラシーネ　ペルシャ,タンパク質,27
437,ラシーネ　ペルシャ,脂質,10.5
438,ラシーネ　ペルシャ,粗繊維,4
439,ラシーネ　ペルシャ,灰分,9
440,ラシーネ　ペルシャ,水分,10
441,ラシーネ　メイン・クーン,タンパク質,32
442,ラシーネ　メイン・クーン,脂質,8.5
443,ラシーネ　メイン・クーン,粗繊維,4
444,ラシーネ　メイン・クーン,灰分,9
445,ラシーネ　メイン・クーン,水分,10
446,ミオドライミックス　子ねこ用　お肉とお魚ミックス味,タンパク質,30
447,ミオドライミックス　子ねこ用　お肉とお魚ミックス味,脂質,11
448,ミオドライミックス　子ねこ用　お肉とお魚ミックス味,粗繊維,3
449,ミオドライミックス　子ねこ用　お肉とお魚ミックス味,灰分,9
450,ミオドライミックス　子ねこ用　お肉とお魚ミックス味,水分,10
451,ミオドライミックス　まぐろ味,タンパク質,27
452,ミオドライミックス　まぐろ味,脂質,8.5
453,ミオドライミックス　まぐろ味,粗繊維,3
454,ミオドライミックス　まぐろ味,灰分,9
455,ミオドライミックス　まぐろ味,水分,10
456,ミオドライミックス　かつお味,タンパク質,27
457,ミオドライミックス　かつお味,脂質,8.5
458,ミオドライミックス　かつお味,粗繊維,3
459,ミオドライミックス　かつお味,灰分,9
460,ミオドライミックス　かつお味,水分,10
461,ミオドライミックス　お肉とお魚ミックス味,タンパク質,27
462,ミオドライミックス　お肉とお魚ミックス味,脂質,8.5
463,ミオドライミックス　お肉とお魚ミックス味,粗繊維,3
464,ミオドライミックス　お肉とお魚ミックス味,灰分,9
465,ミオドライミックス　お肉とお魚ミックス味,水分,10
466,ミオドライミックス　毛玉対応　かつお味,タンパク質,27
467,ミオドライミックス　毛玉対応　かつお味,脂質,8.5
468,ミオドライミックス　毛玉対応　かつお味,粗繊維,4.5
469,ミオドライミックス　毛玉対応　かつお味,灰分,9
470,ミオドライミックス　毛玉対応　かつお味,水分,10
471,ミオドライミックス　毛玉対応　１１歳以上　かつお味,タンパク質,24
472,ミオドライミックス　毛玉対応　１１歳以上　かつお味,脂質,8.5
473,ミオドライミックス　毛玉対応　１１歳以上　かつお味,粗繊維,4.5
474,ミオドライミックス　毛玉対応　１１歳以上　かつお味,灰分,9
475,ミオドライミックス　毛玉対応　１１歳以上　かつお味,水分,10
476,モンプチ　バッグ　5種のフィッシュブレンド,タンパク質,31
477,モンプチ　バッグ　5種のフィッシュブレンド,脂質,11
478,モンプチ　バッグ　5種のフィッシュブレンド,粗繊維,5
479,モンプチ　バッグ　5種のフィッシュブレンド,灰分,9
480,モンプチ　バッグ　5種のフィッシュブレンド,水分,12
481,モンプチ　バッグ　5種のシーフードブレンド,タンパク質,31
482,モンプチ　バッグ　5種のシーフードブレンド,脂質,11
483,モンプチ　バッグ　5種のシーフードブレンド,粗繊維,5
484,モンプチ　バッグ　5種のシーフードブレンド,灰分,9
485,モンプチ　バッグ　5種のシーフードブレンド,水分,12
486,モンプチ　バッグ　毛玉ケア　5種のブレンド,タンパク質,32
487,モンプチ　バッグ　毛玉ケア　5種のブレンド,脂質,11
488,モンプチ　バッグ　毛玉ケア　5種のブレンド,粗繊維,7.5
489,モンプチ　バッグ　毛玉ケア　5種のブレンド,灰分,9
490,モンプチ　バッグ　毛玉ケア　5種のブレンド,水分,12
491,モンプチ　バッグ　5種のお腹にやさしいブレンド,タンパク質,31
492,モンプチ　バッグ　5種のお腹にやさしいブレンド,脂質,11
493,モンプチ　バッグ　5種のお腹にやさしいブレンド,粗繊維,5
494,モンプチ　バッグ　5種のお腹にやさしいブレンド,灰分,9
495,モンプチ　バッグ　5種のお腹にやさしいブレンド,水分,12
496,モンプチ　バッグ　5種の贅沢グリルブレンド,タンパク質,31
497,モンプチ　バッグ　5種の贅沢グリルブレンド,脂質,11
498,モンプチ　バッグ　5種の贅沢グリルブレンド,粗繊維,5
499,モンプチ　バッグ　5種の贅沢グリルブレンド,灰分,9
500,モンプチ　バッグ　5種の贅沢グリルブレンド,水分,12
501,モンプチ　バッグ　子ねこ　1歳まで　5種のブレンド,タンパク質,38
502,モンプチ　バッグ　子ねこ　1歳まで　5種のブレンド,脂質,15
503,モンプチ　バッグ　子ねこ　1歳まで　5種のブレンド,粗繊維,3.5
504,モンプチ　バッグ　子ねこ　1歳まで　5種のブレンド,灰分,9.5
505,モンプチ　バッグ　子ねこ　1歳まで　5種のブレンド,水分,12
506,モンプチ　バッグ　15歳以上用　5種のブレンド,タンパク質,34
507,モンプチ　バッグ　15歳以上用　5種のブレンド,脂質,12
508,モンプチ　バッグ　15歳以上用　5種のブレンド,粗繊維,3.5
509,モンプチ　バッグ　15歳以上用　5種のブレンド,灰分,8
510,モンプチ　バッグ　15歳以上用　5種のブレンド,水分,12
511,モンプチ　ボックス　7種のブレンド　（小魚入り）,タンパク質,31
512,モンプチ　ボックス　7種のブレンド　（小魚入り）,脂質,10.5
513,モンプチ　ボックス　7種のブレンド　（小魚入り）,粗繊維,5
514,モンプチ　ボックス　7種のブレンド　（小魚入り）,灰分,9
515,モンプチ　ボックス　7種のブレンド　（小魚入り）,水分,12
516,モンプチ　ボックス　7種のブレンド　（かつお節入り）,タンパク質,31
517,モンプチ　ボックス　7種のブレンド　（かつお節入り）,脂質,10.5
518,モンプチ　ボックス　7種のブレンド　（かつお節入り）,粗繊維,5
519,モンプチ　ボックス　7種のブレンド　（かつお節入り）,灰分,9
520,モンプチ　ボックス　7種のブレンド　（かつお節入り）,水分,12
521,モンプチ　ボックス　7種のブレンド　（しらす入り）,タンパク質,31
522,モンプチ　ボックス　7種のブレンド　（しらす入り）,脂質,10.5
523,モンプチ　ボックス　7種のブレンド　（しらす入り）,粗繊維,5
524,モンプチ　ボックス　7種のブレンド　（しらす入り）,灰分,9
525,モンプチ　ボックス　7種のブレンド　（しらす入り）,水分,12
526,モンプチ　ボックス　毛玉ケア　7種のブレンド　（かつお節入り）,タンパク質,32
527,モンプチ　ボックス　毛玉ケア　7種のブレンド　（かつお節入り）,脂質,10.5
528,モンプチ　ボックス　毛玉ケア　7種のブレンド　（かつお節入り）,粗繊維,7
529,モンプチ　ボックス　毛玉ケア　7種のブレンド　（かつお節入り）,灰分,9
530,モンプチ　ボックス　毛玉ケア　7種のブレンド　（かつお節入り）,水分,12
531,モンプチ　バッグ　ナチュラル　毛玉ケア　ターキー入りチキンの贅沢,タンパク質,34
532,モンプチ　バッグ　ナチュラル　毛玉ケア　ターキー入りチキンの贅沢,脂質,9
533,モンプチ　バッグ　ナチュラル　毛玉ケア　ターキー入りチキンの贅沢,粗繊維,5.1
534,モンプチ　バッグ　ナチュラル　毛玉ケア　ターキー入りチキンの贅沢,灰分,8.5
535,モンプチ　バッグ　ナチュラル　毛玉ケア　ターキー入りチキンの贅沢,水分,12
536,モンプチ　バッグ　ナチュラル　サーモン入りチキンの贅沢,タンパク質,34
537,モンプチ　バッグ　ナチュラル　サーモン入りチキンの贅沢,脂質,13
538,モンプチ　バッグ　ナチュラル　サーモン入りチキンの贅沢,粗繊維,3
539,モンプチ　バッグ　ナチュラル　サーモン入りチキンの贅沢,灰分,8.5
540,モンプチ　バッグ　ナチュラル　サーモン入りチキンの贅沢,水分,12
541,モンプチ　バッグ　ナチュラル　天然お魚の贅沢,タンパク質,34
542,モンプチ　バッグ　ナチュラル　天然お魚の贅沢,脂質,15
543,モンプチ　バッグ　ナチュラル　天然お魚の贅沢,粗繊維,3
544,モンプチ　バッグ　ナチュラル　天然お魚の贅沢,灰分,9
545,モンプチ　バッグ　ナチュラル　天然お魚の贅沢,水分,10
546,モンプチ　バッグ　ナチュラル　新鮮若鶏の贅沢,タンパク質,34
547,モンプチ　バッグ　ナチュラル　新鮮若鶏の贅沢,脂質,15
548,モンプチ　バッグ　ナチュラル　新鮮若鶏の贅沢,粗繊維,3
549,モンプチ　バッグ　ナチュラル　新鮮若鶏の贅沢,灰分,9
550,モンプチ　バッグ　ナチュラル　新鮮若鶏の贅沢,水分,10
551,モンプチ　バッグ　ナチュラル　白身魚とチキンの贅沢,タンパク質,34
552,モンプチ　バッグ　ナチュラル　白身魚とチキンの贅沢,脂質,15
553,モンプチ　バッグ　ナチュラル　白身魚とチキンの贅沢,粗繊維,3
554,モンプチ　バッグ　ナチュラル　白身魚とチキンの贅沢,灰分,9
555,モンプチ　バッグ　ナチュラル　白身魚とチキンの贅沢,水分,10
556,ピュリナワン　1歳までの子ねこ用／妊娠・授乳期の母猫用　チキン,タンパク質,39
557,ピュリナワン　1歳までの子ねこ用／妊娠・授乳期の母猫用　チキン,脂質,18
558,ピュリナワン　1歳までの子ねこ用／妊娠・授乳期の母猫用　チキン,粗繊維,3
559,ピュリナワン　1歳までの子ねこ用／妊娠・授乳期の母猫用　チキン,灰分,8.5
560,ピュリナワン　1歳までの子ねこ用／妊娠・授乳期の母猫用　チキン,水分,12
561,ピュリナワン　1歳以上　美味を求める成猫用　チキン,タンパク質,34
562,ピュリナワン　1歳以上　美味を求める成猫用　チキン,脂質,14
563,ピュリナワン　1歳以上　美味を求める成猫用　チキン,粗繊維,3
564,ピュリナワン　1歳以上　美味を求める成猫用　チキン,灰分,8.5
565,ピュリナワン　1歳以上　美味を求める成猫用　チキン,水分,12
566,ピュリナワン　1歳以上　美味を求める成猫用　サーモン&ツナ,タンパク質,34
567,ピュリナワン　1歳以上　美味を求める成猫用　サーモン&ツナ,脂質,14
568,ピュリナワン　1歳以上　美味を求める成猫用　サーモン&ツナ,粗繊維,3
569,ピュリナワン　1歳以上　美味を求める成猫用　サーモン&ツナ,灰分,8.5
570,ピュリナワン　1歳以上　美味を求める成猫用　サーモン&ツナ,水分,12
571,ピュリナワン　避妊・去勢後から全ての年齢に　避妊・去勢した猫の体重ケア　チキン,タンパク質,37
572,ピュリナワン　避妊・去勢後から全ての年齢に　避妊・去勢した猫の体重ケア　チキン,脂質,9
573,ピュリナワン　避妊・去勢後から全ての年齢に　避妊・去勢した猫の体重ケア　チキン,粗繊維,6
574,ピュリナワン　避妊・去勢後から全ての年齢に　避妊・去勢した猫の体重ケア　チキン,灰分,8.5
575,ピュリナワン　避妊・去勢後から全ての年齢に　避妊・去勢した猫の体重ケア　チキン,水分,12
576,ピュリナワン　避妊・去勢後から全ての年齢に　避妊・去勢した猫の体重ケア　サーモン&ツナ,タンパク質,37
577,ピュリナワン　避妊・去勢後から全ての年齢に　避妊・去勢した猫の体重ケア　サーモン&ツナ,脂質,9
578,ピュリナワン　避妊・去勢後から全ての年齢に　避妊・去勢した猫の体重ケア　サーモン&ツナ,粗繊維,6
579,ピュリナワン　避妊・去勢後から全ての年齢に　避妊・去勢した猫の体重ケア　サーモン&ツナ,灰分,8.5
580,ピュリナワン　避妊・去勢後から全ての年齢に　避妊・去勢した猫の体重ケア　サーモン&ツナ,水分,12
581,ピュリナワン　1歳以上　室内飼い猫用　インドアキャット　チキン,タンパク質,34
582,ピュリナワン　1歳以上　室内飼い猫用　インドアキャット　チキン,脂質,12
583,ピュリナワン　1歳以上　室内飼い猫用　インドアキャット　チキン,粗繊維,7
584,ピュリナワン　1歳以上　室内飼い猫用　インドアキャット　チキン,灰分,8.5
585,ピュリナワン　1歳以上　室内飼い猫用　インドアキャット　チキン,水分,12
586,ピュリナワン　1歳以上　室内飼い猫用　インドアキャット　サーモン&ツナ,タンパク質,34
587,ピュリナワン　1歳以上　室内飼い猫用　インドアキャット　サーモン&ツナ,脂質,12
588,ピュリナワン　1歳以上　室内飼い猫用　インドアキャット　サーモン&ツナ,粗繊維,7
589,ピュリナワン　1歳以上　室内飼い猫用　インドアキャット　サーモン&ツナ,灰分,8.5
590,ピュリナワン　1歳以上　室内飼い猫用　インドアキャット　サーモン&ツナ,水分,12
591,ピュリナワン　1歳以上　下部尿路の健康維持　F.L.U.T.H.ケア　チキン,タンパク質,34
592,ピュリナワン　1歳以上　下部尿路の健康維持　F.L.U.T.H.ケア　チキン,脂質,14
593,ピュリナワン　1歳以上　下部尿路の健康維持　F.L.U.T.H.ケア　チキン,粗繊維,3
594,ピュリナワン　1歳以上　下部尿路の健康維持　F.L.U.T.H.ケア　チキン,灰分,8.5
595,ピュリナワン　1歳以上　下部尿路の健康維持　F.L.U.T.H.ケア　チキン,水分,12
596,ピュリナワン　1歳以上　下部尿路の健康維持　F.L.U.T.H.ケア　サーモン&ツナ,タンパク質,34
597,ピュリナワン　1歳以上　下部尿路の健康維持　F.L.U.T.H.ケア　サーモン&ツナ,脂質,14
598,ピュリナワン　1歳以上　下部尿路の健康維持　F.L.U.T.H.ケア　サーモン&ツナ,粗繊維,3
599,ピュリナワン　1歳以上　下部尿路の健康維持　F.L.U.T.H.ケア　サーモン&ツナ,灰分,8.5
600,ピュリナワン　1歳以上　下部尿路の健康維持　F.L.U.T.H.ケア　サーモン&ツナ,水分,12
601,ピュリナワン　太りやすい猫用　1歳以上　メタボリック　エネルギーコントロール　チキン,タンパク質,37
602,ピュリナワン　太りやすい猫用　1歳以上　メタボリック　エネルギーコントロール　チキン,脂質,9
603,ピュリナワン　太りやすい猫用　1歳以上　メタボリック　エネルギーコントロール　チキン,粗繊維,6
604,ピュリナワン　太りやすい猫用　1歳以上　メタボリック　エネルギーコントロール　チキン,灰分,8.5
605,ピュリナワン　太りやすい猫用　1歳以上　メタボリック　エネルギーコントロール　チキン,水分,12
606,ピュリナワン　1歳から全ての年齢に　グレインフリー（穀物不使用）　チキン,タンパク質,35
607,ピュリナワン　1歳から全ての年齢に　グレインフリー（穀物不使用）　チキン,脂質,14
608,ピュリナワン　1歳から全ての年齢に　グレインフリー（穀物不使用）　チキン,粗繊維,2
609,ピュリナワン　1歳から全ての年齢に　グレインフリー（穀物不使用）　チキン,灰分,9
610,ピュリナワン　1歳から全ての年齢に　グレインフリー（穀物不使用）　チキン,水分,12
611,ピュリナワン　1歳から全ての年齢に　グレインフリー（穀物不使用）　白身魚,タンパク質,35
612,ピュリナワン　1歳から全ての年齢に　グレインフリー（穀物不使用）　白身魚,脂質,14
613,ピュリナワン　1歳から全ての年齢に　グレインフリー（穀物不使用）　白身魚,粗繊維,2
614,ピュリナワン　1歳から全ての年齢に　グレインフリー（穀物不使用）　白身魚,灰分,9
615,ピュリナワン　1歳から全ての年齢に　グレインフリー（穀物不使用）　白身魚,水分,12
616,ピュリナワン　7歳以上　健康マルチケア　チキン,タンパク質,37
617,ピュリナワン　7歳以上　健康マルチケア　チキン,脂質,11
618,ピュリナワン　7歳以上　健康マルチケア　チキン,粗繊維,6
619,ピュリナワン　7歳以上　健康マルチケア　チキン,灰分,8.5
620,ピュリナワン　7歳以上　健康マルチケア　チキン,水分,12
621,ピュリナワン　11歳以上　健康マルチケア　チキン,タンパク質,38
622,ピュリナワン　11歳以上　健康マルチケア　チキン,脂質,15
623,ピュリナワン　11歳以上　健康マルチケア　チキン,粗繊維,3
624,ピュリナワン　11歳以上　健康マルチケア　チキン,灰分,8.5
625,ピュリナワン　11歳以上　健康マルチケア　チキン,水分,12
626,ピュリナワン　15歳以上　健康マルチケア　チキン,タンパク質,38
627,ピュリナワン　15歳以上　健康マルチケア　チキン,脂質,17
628,ピュリナワン　15歳以上　健康マルチケア　チキン,粗繊維,3
629,ピュリナワン　15歳以上　健康マルチケア　チキン,灰分,8.5
630,ピュリナワン　15歳以上　健康マルチケア　チキン,水分,12
631,ピュリナワン　11歳以上　優しく腎臓の健康サポート　チキン,タンパク質,36
632,ピュリナワン　11歳以上　優しく腎臓の健康サポート　チキン,脂質,13
633,ピュリナワン　11歳以上　優しく腎臓の健康サポート　チキン,粗繊維,4
634,ピュリナワン　11歳以上　優しく腎臓の健康サポート　チキン,灰分,9
635,ピュリナワン　11歳以上　優しく腎臓の健康サポート　チキン,水分,12
636,ピュリナ　プロプラン　6ヶ月までの子猫用　サーモン&ツナ,タンパク質,41
637,ピュリナ　プロプラン　6ヶ月までの子猫用　サーモン&ツナ,脂質,21
638,ピュリナ　プロプラン　6ヶ月までの子猫用　サーモン&ツナ,粗繊維,2.5
639,ピュリナ　プロプラン　6ヶ月までの子猫用　サーモン&ツナ,灰分,8
640,ピュリナ　プロプラン　6ヶ月までの子猫用　サーモン&ツナ,水分,9
641,ピュリナ　プロプラン　子猫用　チキン,タンパク質,39
642,ピュリナ　プロプラン　子猫用　チキン,脂質,20
643,ピュリナ　プロプラン　子猫用　チキン,粗繊維,2.5
644,ピュリナ　プロプラン　子猫用　チキン,灰分,8
645,ピュリナ　プロプラン　子猫用　チキン,水分,9
646,ピュリナ　プロプラン　避妊・去勢した　猫の体重ケア　サーモン&ツナ,タンパク質,37
647,ピュリナ　プロプラン　避妊・去勢した　猫の体重ケア　サーモン&ツナ,脂質,10
648,ピュリナ　プロプラン　避妊・去勢した　猫の体重ケア　サーモン&ツナ,粗繊維,3
649,ピュリナ　プロプラン　避妊・去勢した　猫の体重ケア　サーモン&ツナ,灰分,8.5
650,ピュリナ　プロプラン　避妊・去勢した　猫の体重ケア　サーモン&ツナ,水分,9
651,ピュリナ　プロプラン　美味を求める成猫用　サーモン,タンパク質,36
652,ピュリナ　プロプラン　美味を求める成猫用　サーモン,脂質,15
653,ピュリナ　プロプラン　美味を求める成猫用　サーモン,粗繊維,5
654,ピュリナ　プロプラン　美味を求める成猫用　サーモン,灰分,8.5
655,ピュリナ　プロプラン　美味を求める成猫用　サーモン,水分,9
656,ピュリナ　プロプラン　室内飼い猫の毛玉ケア　チキン,タンパク質,34
657,ピュリナ　プロプラン　室内飼い猫の毛玉ケア　チキン,脂質,11
658,ピュリナ　プロプラン　室内飼い猫の毛玉ケア　チキン,粗繊維,7
659,ピュリナ　プロプラン　室内飼い猫の毛玉ケア　チキン,灰分,8.5
660,ピュリナ　プロプラン　室内飼い猫の毛玉ケア　チキン,水分,9
661,ピュリナ　プロプラン　尿路の健康ケア　チキン,タンパク質,32
662,ピュリナ　プロプラン　尿路の健康ケア　チキン,脂質,13
663,ピュリナ　プロプラン　尿路の健康ケア　チキン,粗繊維,3
664,ピュリナ　プロプラン　尿路の健康ケア　チキン,灰分,8.5
665,ピュリナ　プロプラン　尿路の健康ケア　チキン,水分,9
666,ピュリナ　プロプラン　7歳以上の成猫用　サーモン&ツナ,タンパク質,35
667,ピュリナ　プロプラン　7歳以上の成猫用　サーモン&ツナ,脂質,17
668,ピュリナ　プロプラン　7歳以上の成猫用　サーモン&ツナ,粗繊維,3
669,ピュリナ　プロプラン　7歳以上の成猫用　サーモン&ツナ,灰分,8.5
670,ピュリナ　プロプラン　7歳以上の成猫用　サーモン&ツナ,水分,9
671,ヒルズ　サイエンス・ダイエット　避妊・去勢後~6歳　チキン（避妊・去勢猫用）,タンパク質,28.5
672,ヒルズ　サイエンス・ダイエット　避妊・去勢後~6歳　チキン（避妊・去勢猫用）,脂質,8
673,ヒルズ　サイエンス・ダイエット　避妊・去勢後~6歳　チキン（避妊・去勢猫用）,粗繊維,3
674,ヒルズ　サイエンス・ダイエット　避妊・去勢後~6歳　チキン（避妊・去勢猫用）,灰分,7.5
675,ヒルズ　サイエンス・ダイエット　避妊・去勢後~6歳　チキン（避妊・去勢猫用）,水分,8
676,ヒルズ　サイエンス・ダイエット　腸の健康サポートプラス　1歳以上の成猫・高齢猫用　チキン　ドライフード,タンパク質,34.2
677,ヒルズ　サイエンス・ダイエット　腸の健康サポートプラス　1歳以上の成猫・高齢猫用　チキン　ドライフード,脂質,13.8
678,ヒルズ　サイエンス・ダイエット　腸の健康サポートプラス　1歳以上の成猫・高齢猫用　チキン　ドライフード,粗繊維,4
679,ヒルズ　サイエンス・ダイエット　腸の健康サポートプラス　1歳以上の成猫・高齢猫用　チキン　ドライフード,灰分,8
680,ヒルズ　サイエンス・ダイエット　腸の健康サポートプラス　1歳以上の成猫・高齢猫用　チキン　ドライフード,水分,6
681,ヒルズ　サイエンス・ダイエット　シニア　14歳以上　高齢猫用　チキン（シニア　アドバンスド）,タンパク質,29
682,ヒルズ　サイエンス・ダイエット　シニア　14歳以上　高齢猫用　チキン（シニア　アドバンスド）,脂質,16
683,ヒルズ　サイエンス・ダイエット　シニア　14歳以上　高齢猫用　チキン（シニア　アドバンスド）,粗繊維,3.5
684,ヒルズ　サイエンス・ダイエット　シニア　14歳以上　高齢猫用　チキン（シニア　アドバンスド）,灰分,7.5
685,ヒルズ　サイエンス・ダイエット　シニア　14歳以上　高齢猫用　チキン（シニア　アドバンスド）,水分,9.5
686,ヒルズ　サイエンス・ダイエット　アダルト　ライト　1~6歳　肥満傾向の成猫用　まぐろ,タンパク質,30
687,ヒルズ　サイエンス・ダイエット　アダルト　ライト　1~6歳　肥満傾向の成猫用　まぐろ,脂質,8.3
688,ヒルズ　サイエンス・ダイエット　アダルト　ライト　1~6歳　肥満傾向の成猫用　まぐろ,粗繊維,7.5
689,ヒルズ　サイエンス・ダイエット　アダルト　ライト　1~6歳　肥満傾向の成猫用　まぐろ,灰分,7
